status_id,label
1443734461519179778,legitimate
1443737354695553027,misinformation
1443735256121630721,legitimate
1443732448504909824,legitimate
1443733943317041154,misinformation
1443737184104640519,legitimate
1443737466570035202,irrelevant
1443732939297079296,legitimate
1443729978093355010,misinformation
1443732935136403456,irrelevant
1443728502071730179,legitimate
1443731699142053888,irrelevant
1443738536486768644,misinformation
1443736619849240576,misinformation
1443734490858209323,irrelevant
1443735988698759168,legitimate
1443731172966613002,legitimate
1443730395665735681,misinformation
1443737198512193540,legitimate
1443736488412385281,irrelevant
1443737632610078721,irrelevant
1443734333626494981,irrelevant
1443730380784222213,irrelevant
1443740544903958531,legitimate
1443729806160449540,legitimate
1443732494910693384,irrelevant
1443735527610589190,legitimate
1443738048148041738,legitimate
1443727964458283008,irrelevant
1443732143994200067,legitimate
1443741961194717189,misinformation
1443737877595058187,legitimate
1443730549856559104,legitimate
1443741059171946498,legitimate
1443729978093355010,misinformation
1443739929213915140,irrelevant
1443741404535136257,irrelevant
1443732033814110217,irrelevant
1443737930615296001,legitimate
1443733588730654721,irrelevant
1443740748281749504,misinformation
1443736516409298950,irrelevant
1443731650869878787,irrelevant
1443739885412786182,irrelevant
1443738271511506960,misinformation
1443733504475475972,irrelevant
1443730356159533059,irrelevant
1443742369317281795,legitimate
1443735338116005911,irrelevant
1443740800538476548,misinformation
1443727404393025536,legitimate
1443739496944709632,misinformation
1443734076268036116,legitimate
1443739330988683267,irrelevant
1443738074681204737,irrelevant
1443728409356611584,legitimate
1443730314191384578,legitimate
1443727362370125828,legitimate
1443732311183396868,misinformation
1443731999215210499,irrelevant
1443732042592751618,misinformation
1443736532842528770,misinformation
1443738683685941251,legitimate
1443730890341826566,misinformation
1443740028090286084,legitimate
1443738654002671634,misinformation
1443732368108310528,irrelevant
1443729633824976896,irrelevant
1443736714523017222,irrelevant
1443729999610142721,misinformation
1443727468242874370,legitimate
1443728617582866434,misinformation
1443731752380506112,irrelevant
1443741526434136066,legitimate
1443730961510842370,misinformation
1443742036247519235,misinformation
1443740946429059076,legitimate
1443733575090716673,irrelevant
1443737520466972676,legitimate
1443735971820814340,irrelevant
1443739974008979458,misinformation
1443730146406514708,legitimate
1443740798638596098,misinformation
1443729125383053323,legitimate
1443732338437865486,legitimate
1443729086220681278,irrelevant
1443741783264006147,irrelevant
1443734470847184911,legitimate
1443736484507422724,irrelevant
1443728331791380485,legitimate
1443727355730665473,legitimate
1443730896717168670,legitimate
1443731756767645700,legitimate
1443727508675837967,legitimate
1443729028989526018,legitimate
1443740373868765187,irrelevant
1443738512583430144,legitimate
1443732222104649754,irrelevant
1443738953874481152,legitimate
1443741120345907202,legitimate
1443732071017590786,misinformation
1443727979692036099,irrelevant
1443734284188020743,legitimate
1443730133739708416,legitimate
1443731874501705754,legitimate
1443737072158720000,irrelevant
1443737362069065735,irrelevant
1443740868125491202,irrelevant
1443736516614840324,irrelevant
1443736686916038663,misinformation
1443736306580799498,legitimate
1443731671472226336,legitimate
1443736979435364355,misinformation
1443738220458496005,irrelevant
1443727531870339095,legitimate
1443740838635327488,irrelevant
1443733852803907584,irrelevant
1443738114539732992,irrelevant
1443737360353660928,misinformation
1443737541014958080,irrelevant
1443738157707677703,misinformation
1443731683778367493,irrelevant
1443741449825181698,legitimate
1443737625693671426,irrelevant
1443737401755582465,irrelevant
1443731078213246980,legitimate
1443740303169523712,irrelevant
1443730590193291265,irrelevant
1443732373569359872,legitimate
1443733090610917378,legitimate
1443727559213076489,legitimate
1443729667266121731,misinformation
1443738259255926785,irrelevant
1443739950264946690,legitimate
1443738839667953671,misinformation
1443738013666775046,irrelevant
1443734257076158466,irrelevant
1443734400168968209,legitimate
1443737741292974083,misinformation
1443729902721765383,misinformation
1443741048187064321,irrelevant
1443735845144444981,legitimate
1443737723832053764,irrelevant
1443740374988693504,irrelevant
1443739394007920650,legitimate
1443741930970484741,irrelevant
1443740385822613504,irrelevant
1443737214584774656,legitimate
1443731339979603986,irrelevant
1443732983949758468,irrelevant
1443728774701404169,irrelevant
1443735217349431297,irrelevant
1443739594449735685,legitimate
1443741049445355523,irrelevant
1443732681473335298,irrelevant
1443741336285241345,legitimate
1443731454408761345,misinformation
1443739136536584194,misinformation
1443741960481746948,irrelevant
1443742304150376452,misinformation
1443739090449584135,misinformation
1443730427110309912,misinformation
1443738674504421377,misinformation
1443728372362711040,irrelevant
1443741084530745352,legitimate
1443733042762293249,legitimate
1443731191740444672,irrelevant
1443740749795840007,irrelevant
1443729276503670801,irrelevant
1443737901657780231,irrelevant
1443733904125485058,legitimate
1443728511471169539,irrelevant
1443733179118993419,irrelevant
1443732406264008707,legitimate
1443727927930200064,irrelevant
1443739350240485379,irrelevant
1443739718118694914,irrelevant
1443732901384765451,legitimate
1443735334915870725,irrelevant
1443732011617644544,misinformation
1443734537050091521,irrelevant
1443727754306863118,irrelevant
1443730584786833413,legitimate
1443738191232651269,irrelevant
1443736880172843011,misinformation
1443732255436783636,legitimate
1443729737793343488,irrelevant
1443734953083146242,misinformation
1443734942995865600,legitimate
1443731276238782465,legitimate
1443728484526800916,irrelevant
1443730816488542209,legitimate
1443734283475111936,irrelevant
1443741058987347974,irrelevant
1443731731626934290,legitimate
1443736462105591832,irrelevant
1443736788908994561,legitimate
1443732460903309312,misinformation
1443738196689317893,legitimate
1443738898660614145,legitimate
1443738129463070721,irrelevant
1443736876637114374,irrelevant
1443742042085945345,irrelevant
1443731109527891968,legitimate
1443728310824054784,irrelevant
1443734639567331329,legitimate
1443728999046266904,legitimate
1443730782908923925,misinformation
1443734871688429568,legitimate
1443737340967591937,legitimate
1443736412206112772,irrelevant
1443728854653280261,legitimate
